,summary,Winter,Energie,Krieg,Krise,word
schlecht alternative,2.5222768390918366,0.7469684134649024,-0.24039083008275566,-0.10184508661232307,-0.24005918114421995,schlecht alternative
alternative gas,2.568295527798712,0.7535800350037165,-0.2584712890254977,-0.09346398252965707,-0.25813964008696205,alternative gas
gas sei,2.586182145435572,0.7555071977126119,-0.26541154197304306,-0.08999294699604442,-0.2650798930345074,gas sei
sei holz,2.6182895989421238,0.7581114675925197,-0.27775010865942146,-0.08348300345173343,-0.27741845972088564,sei holz
holz heiz,2.6410275681912956,0.7593201283378074,-0.28639690070380575,-0.07866940355563172,-0.2860652517652699,holz heiz
tatsächlich,2.677292129984433,0.7602202743354071,-0.30003471336637394,-0.07067495701549698,-0.2997030644278381,tatsächlich
heiz tatsächlich,2.677292129984433,0.7602202743354071,-0.30003471336637394,-0.07067495701549698,-0.2997030644278381,heiz tatsächlich
umweltfreundlich,2.756736039689735,0.7581995484703231,-0.32927621449788336,-0.05202232502465545,-0.32894456555934753,umweltfreundlich
tatsächlich umweltfreundlich,2.756736039689735,0.7581995484703231,-0.32927621449788336,-0.05202232502465545,-0.32894456555934753,tatsächlich umweltfreundlich
gaspreis höhe,3.9738622434821482,1.0978309229268735,-0.6949673079810041,-0.08757576085401272,-0.6946356590424685,gaspreis höhe
Daher,3.9712563228306617,1.146405759490517,-0.6943113276521563,-0.12705607992331913,-0.6939796787136207,Daher
daher setz,3.9985090590215555,1.1958837997994143,-0.7011503852928143,-0.16764946506417208,-0.7008187363542785,daher setz
spar gut,3.348467378120317,1.1425737376250957,-0.5237315709843665,-0.20871428679739554,-0.5233999220458309,spar gut
gut umwelt,3.3101079888104112,1.0998406783510888,-0.5122096427756206,-0.17761786156348916,-0.511877993837085,gut umwelt
Schließlich,3.225099947495638,1.0763470319575188,-0.48619277013960804,-0.17257215889637803,-0.4858611212010724,Schließlich
Naturprodukt,2.6053481363482853,0.814680626199104,-0.2727951367691025,-0.11914303446981667,-0.2724634878305666,Naturprodukt
schließlich naturprodukt,2.6053481363482853,0.814680626199104,-0.2727951367691025,-0.11914303446981667,-0.2724634878305666,schließlich naturprodukt
naturprodukt deutschland,2.6199968777069222,0.7734352826910292,-0.2784019549579625,-0.0915549310759536,-0.2780703060194269,naturprodukt deutschland
klimafreundlicher,2.6829762078996207,0.7602519331127623,-0.30215553258191113,-0.06938920118521634,-0.3018238836433754,klimafreundlicher
deutschland klimafreundlich,2.6829762078996207,0.7602519331127623,-0.30215553258191113,-0.06938920118521634,-0.3018238836433754,deutschland klimafreundlich
Brennstof…,2.8190026338971026,0.7533059851257401,-0.35161197536951144,-0.03659469118254042,-0.3512803264309757,Brennstof…
klimafreundlich brennstof…,2.8190026338971026,0.7533059851257401,-0.35161197536951144,-0.03659469118254042,-0.3512803264309757,klimafreundlich brennstof…
